event_id,player_id,event_team_id,side,role,is_counted,notes
g6,chai,g6_a,A,player,true,
g6,g,g6_a,A,player,true,
g6,harada,g6_a,A,player,true,
g6,hashimoto,g6_a,A,player,true,
g6,liao,g6_a,A,player,true,
g6,seki,g6_a,A,player,true,
g6,zuan,g6_a,A,player,true,
g6,aoki,g6_b,B,player,true,KeepB member playing on opponent side in this event
g6,daisuke,g6_b,B,player,true,
g6,feng,g6_b,B,player,true,KeepB member playing on opponent side in this event
g6,gbc5,g6_b,B,player,true,
g6,mibashi,g6_b,B,player,true,
g6,gbc49,g6_b,B,player,true,
g6,someya,g6_b,B,player,true,Guest on opponent side
