event_id,player_id,event_team_id,pts,reb,ast,stl,blk,tov,fgm,fga,fg2m,fg2a,fg3m,fg3a,oreb,min,ftm,fta,notes
g6,chai,g6_a,14,4,0,0,0,3,5,11,1,2,4,9,1,,,,
g6,g,g6_a,2,6,0,0,5,1,1,4,1,4,0,0,0,,,,
g6,harada,g6_a,0,2,2,1,0,0,0,8,0,1,0,7,0,,,,
g6,hashimoto,g6_a,0,0,2,0,1,0,0,5,0,5,0,0,0,,,,
g6,liao,g6_a,3,4,2,0,0,1,1,11,0,3,1,8,1,,,,
g6,seki,g6_a,5,2,0,0,0,0,2,4,1,2,1,2,0,,,,
g6,zuan,g6_a,2,6,2,2,0,0,1,1,1,1,0,0,1,,,,
g6,aoki,g6_b,5,6,2,1,0,2,2,4,1,3,1,1,3,,,,
g6,daisuke,g6_b,0,9,2,0,0,0,0,3,0,2,0,1,1,,,,
g6,feng,g6_b,10,7,1,1,0,0,4,13,2,8,2,5,2,,,,
g6,gbc5,g6_b,0,5,0,0,0,0,0,3,0,2,0,1,4,,,,
g6,mibashi,g6_b,7,0,1,2,0,2,3,9,2,6,1,3,0,,,,
g6,gbc49,g6_b,4,3,0,0,0,0,2,8,2,7,0,1,2,,,,
g6,someya,g6_b,7,13,1,0,0,1,3,14,2,6,1,8,3,,,,
