player_id,display_name,nickname,number,position,primary_team_id,player_status,is_public,avatar,height,weight,joined,wingspan,standing_reach,school,contract,idol,mold,tags,honors,notes
aoki,aoki,A,13,G,keepb,regular,true,,,,2026-01,,,,,,,,,
boss,boss,B,30,F,gbc,regular,false,,,,,,,,,,,,,
chai,chai,C,96,F,keepb,regular,true,pic/chai.jpeg,,,2026-01,,,,,,,篮板痴汉,,
daisuke,daisuke,D,24,F,gbc,regular,false,,,,,,,,,,,,,
feng,Feng,F,0,G,keepb,regular,true,pic/Feng.jpeg,,,2026-01,,,,,,,,,
funwarihair,funwarihair,FH,34,F,,guest,false,,,,,,,,,,,,,
g,G,G,11,F,keepb,regular,true,pic/G.jpeg,,,2026-01,,,,,,,,,
gbc0,No.0,0,0,G,gbc,regular,false,,,,,,,,,,,,,
gbc49,No.49,49,49,F,gbc,regular,false,,,,,,,,,,,,,
gbc5,No.5,5,5,F,gbc,regular,false,,,,,,,,,,,,,
harada,Harada,H,7,G,keepb,regular,true,,,,2026-01,,,,,,,,,
hashimoto,Hashimoto,HM,33,G,keepb,regular,true,,,,2026-01,,,,,,,,,
liao,胖虎,L,10,G,keepb,regular,true,,,,2026-01,180cm,220cm,武汉某体校,2026-2027赛季 -100万日元,哈登,哈登,脚踝终结者,武汉市初中生打小学生 5v3 MVP,
mibashi,mibashi,M,7,G,gbc,regular,false,,,,,,,,,,,,,
redpants,redpants,R,33,G,,guest,false,,,,,,,,,,,,,
seki,seki,SK,35,F,keepb,regular,true,,,,2026-06,,,,,,,,,
someya,someya,S,20,G,,guest,false,,,,,,,,,,,,,
takumi,takumi,T,3,G,gbc,regular,false,,,,,,,,,,,,,
zuan,Zuan,Z,55,F,keepb,regular,true,pic/ZUAN.jpeg,,,2026-01,,,,,,,,,
keni,keni,K,66,G,,guest,false,,,,,,,,,,,,,
steven,steven,ST,77,G,,guest,false,,,,,,,,,,,,,
tmac,T-MAC,TMAC,1,G,keepb,regular,true,pic/T-MAC.jpeg,,,2026-01
